@relation speaker_channel_9

@attribute channel_9_0 numeric
@attribute channel_9_1 numeric
@attribute channel_9_2 numeric
@attribute channel_9_3 numeric
@attribute channel_9_4 numeric
@attribute channel_9_5 numeric
@attribute channel_9_6 numeric
@attribute channel_9_7 numeric
@attribute channel_9_8 numeric
@attribute channel_9_9 numeric
@attribute channel_9_10 numeric
@attribute channel_9_11 numeric
@attribute channel_9_12 numeric
@attribute channel_9_13 numeric
@attribute channel_9_14 numeric
@attribute channel_9_15 numeric
@attribute channel_9_16 numeric
@attribute channel_9_17 numeric
@attribute channel_9_18 numeric
@attribute channel_9_19 numeric
@attribute channel_9_20 numeric
@attribute channel_9_21 numeric
@attribute channel_9_22 numeric
@attribute channel_9_23 numeric
@attribute channel_9_24 numeric
@attribute channel_9_25 numeric
@attribute channel_9_26 numeric
@attribute channel_9_27 numeric
@attribute channel_9_28 numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
-0.306756,-0.289431,-0.314894,-0.323267,-0.351171,-0.364329,-0.358107,-0.340491,-0.355996,-0.33766,-0.30885,-0.326813,-0.322266,-0.296219,-0.236504,-0.214368,-0.220477,-0.204974,-0.212982,-0.219071,?,?,?,?,?,?,?,?,?,1
-0.173138,-0.18191,-0.127751,-0.182744,-0.220531,-0.256385,-0.1862,-0.13658,-0.229586,-0.217084,-0.221234,-0.177655,-0.125466,-0.086459,-0.056789,-0.098248,-0.136598,-0.091613,-0.09191,-0.118128,-0.07524,-0.029453,-0.04565,-0.105327,-0.167528,-0.188285,?,?,?,1
-0.23763,-0.231087,-0.224317,-0.20858,-0.219516,-0.24716,-0.24424,-0.344519,-0.451099,-0.464356,-0.473753,-0.478964,-0.432718,-0.360651,-0.362263,-0.385416,-0.32044,-0.295192,-0.303018,-0.289787,-0.296911,-0.268283,?,?,?,?,?,?,?,1
0.028707,0.03897,0.005654,-0.053426,-0.158885,-0.253737,-0.336853,-0.352695,-0.386457,-0.406532,-0.340455,-0.281971,-0.266548,-0.25823,-0.251303,-0.244507,-0.267319,-0.27706,-0.281225,-0.268979,?,?,?,?,?,?,?,?,?,1
-0.115333,-0.106838,-0.125721,-0.15946,-0.178367,-0.176394,-0.193288,-0.16409,-0.120764,-0.075709,-0.059683,-0.047579,-0.094685,-0.098009,-0.130769,-0.139636,-0.159496,-0.221048,-0.25841,-0.289957,-0.258918,?,?,?,?,?,?,?,?,1
-0.145149,-0.077795,-0.169238,-0.234477,-0.171606,-0.267429,-0.375987,-0.399447,-0.386465,-0.391376,-0.368635,-0.23823,-0.17018,-0.159263,-0.137291,-0.17912,-0.195197,-0.19478,-0.157839,-0.154633,-0.164402,-0.158843,-0.159602,?,?,?,?,?,?,1
-0.188824,-0.167901,-0.120408,-0.152682,-0.206558,-0.216007,-0.219998,-0.218385,-0.289131,-0.306133,-0.336171,-0.375349,-0.333793,-0.298663,-0.266776,-0.241451,-0.205987,-0.186627,-0.218629,-0.253865,-0.262236,-0.271401,?,?,?,?,?,?,?,1
-0.126192,-0.144827,-0.211349,-0.277127,-0.311812,-0.316456,-0.342953,-0.365806,-0.366294,-0.365399,-0.353389,-0.297178,-0.306321,-0.309313,-0.268016,-0.295222,-0.29126,-0.283037,?,?,?,?,?,?,?,?,?,?,?,1
-0.261525,-0.388598,-0.438297,-0.498749,-0.482284,-0.40045,-0.323904,-0.347759,-0.361634,-0.292933,-0.242247,-0.200138,-0.242608,-0.29037,-0.287354,-0.285107,-0.278797,-0.27202,-0.26226,-0.264241,-0.22897,-0.225763,-0.247688,-0.260407,?,?,?,?,?,1
-0.146941,-0.132267,-0.200048,-0.23664,-0.324812,-0.349618,-0.336039,-0.265499,-0.229903,-0.223365,-0.153661,-0.11476,-0.0865,-0.068733,-0.098875,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.159541,-0.186735,-0.242081,-0.241327,-0.290636,-0.351187,-0.330439,-0.300661,-0.290495,-0.236317,-0.206053,-0.234513,-0.226975,-0.111344,-0.116514,-0.113356,-0.111354,-0.10986,-0.074047,-0.073718,-0.086934,-0.129711,-0.165313,?,?,?,?,?,?,1
-0.029377,-0.067745,-0.093875,-0.213068,-0.246001,-0.289385,-0.339176,-0.332451,-0.369379,-0.303288,-0.290624,-0.292711,-0.337306,-0.400983,-0.432495,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.126077,-0.184544,-0.184289,-0.176536,-0.220182,-0.252518,-0.37922,-0.435766,-0.368236,-0.202364,-0.218637,-0.176284,-0.150737,-0.191553,-0.233712,-0.244854,-0.251735,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.107461,-0.206677,-0.255779,-0.30519,-0.321986,-0.336961,-0.278457,-0.228173,-0.239818,-0.217798,-0.194197,-0.228807,-0.212858,-0.200807,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.029703,-0.098538,-0.216096,-0.275098,-0.277367,-0.231234,-0.192806,-0.265167,-0.267961,-0.240974,-0.174568,-0.182767,-0.222391,-0.25867,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.121794,-0.200028,-0.249256,-0.288183,-0.273277,-0.423546,-0.432228,-0.393757,-0.316388,-0.347567,-0.316971,-0.274758,-0.292643,-0.334659,-0.355327,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.274924,-0.369421,-0.401387,-0.388253,-0.399246,-0.34301,-0.356956,-0.29438,-0.221438,-0.247947,-0.207469,-0.195759,-0.200045,-0.322778,-0.363116,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.09591,-0.072071,-0.042543,-0.176076,-0.190451,-0.1995,-0.281476,-0.361484,-0.341362,-0.245385,-0.151219,-0.1744,-0.113459,-0.11955,-0.179231,-0.159056,-0.118297,-0.152349,-0.118478,-0.067234,-0.078972,?,?,?,?,?,?,?,?,1
-0.144648,-0.188468,-0.270212,-0.346999,-0.406562,-0.464401,-0.45807,-0.459757,-0.475552,-0.427711,-0.363392,-0.314196,-0.349669,-0.366124,-0.371956,-0.351959,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.287493,-0.314774,-0.345273,-0.399568,-0.475696,-0.455062,-0.336337,-0.417746,-0.437068,-0.379497,-0.355722,-0.370266,-0.325608,-0.330688,-0.349021,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.356229,-0.387972,-0.405827,-0.362688,-0.345641,-0.381579,-0.229739,-0.133617,-0.157471,-0.138454,-0.124231,-0.115245,-0.131351,-0.175615,-0.201949,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.224626,-0.233974,-0.196352,-0.206246,-0.208641,-0.219153,-0.22184,-0.318319,-0.397491,-0.39647,-0.399016,-0.418336,-0.438868,-0.455682,-0.405062,-0.377547,-0.331743,-0.323222,-0.305244,?,?,?,?,?,?,?,?,?,?,1
-0.251354,-0.249979,-0.255721,-0.249312,-0.215075,-0.240399,-0.336468,-0.412716,-0.503843,-0.480537,-0.431775,-0.391145,-0.402992,-0.426665,-0.425161,-0.360836,-0.286624,-0.257295,-0.24618,-0.211769,-0.152226,-0.131977,?,?,?,?,?,?,?,1
-0.125119,-0.10744,-0.109197,-0.137999,-0.246382,-0.305294,-0.30539,-0.292361,-0.274259,-0.245159,-0.253617,-0.287737,-0.341511,-0.330048,-0.289832,-0.255087,-0.206243,-0.207742,-0.247347,-0.264767,?,?,?,?,?,?,?,?,?,1
-0.201491,-0.229,-0.242928,-0.252144,-0.32113,-0.391653,-0.41671,-0.424745,-0.432263,-0.408032,-0.36287,-0.300732,-0.334844,-0.347681,-0.312012,-0.303593,-0.327354,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.191541,-0.198387,-0.173089,-0.158494,-0.179136,-0.211082,-0.218367,-0.164455,-0.143808,-0.218489,-0.19782,-0.141429,-0.119225,-0.167532,-0.242718,-0.194246,-0.193899,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.183563,-0.23093,-0.272829,-0.299025,-0.334539,-0.361787,-0.362285,-0.395071,-0.385045,-0.290119,-0.237318,-0.247033,-0.207851,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.254979,-0.26564,-0.288822,-0.268474,-0.246208,-0.252764,-0.252852,-0.274974,-0.294333,-0.306518,-0.279616,-0.268347,-0.29451,-0.32365,-0.221711,-0.260204,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.323718,-0.331463,-0.262613,-0.149551,-0.151322,-0.226813,-0.240658,-0.211557,-0.283657,-0.309278,-0.314891,-0.296547,-0.242268,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.276782,-0.22593,-0.289377,-0.31433,-0.322614,-0.329208,-0.369858,-0.378547,-0.310935,-0.264793,-0.216222,-0.187248,-0.224517,-0.203999,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.186685,-0.180397,-0.206256,-0.283163,-0.293464,-0.324837,-0.310552,-0.330487,-0.326894,-0.317832,-0.294935,-0.260007,-0.232404,-0.226762,-0.198962,-0.17123,-0.130382,-0.097224,?,?,?,?,?,?,?,?,?,?,?,2
-0.221101,-0.23553,-0.29368,-0.332918,-0.358223,-0.387997,-0.370044,-0.32726,-0.290432,-0.227306,-0.195201,-0.204725,-0.088328,-0.100622,-0.125658,-0.182564,-0.152933,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.246842,-0.279402,-0.294517,-0.325337,-0.342448,-0.339234,-0.324437,-0.327683,-0.328193,-0.32926,-0.303013,-0.264598,-0.243719,-0.218111,-0.185647,-0.179788,?,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.243508,-0.266923,-0.268539,-0.286445,-0.286142,-0.294451,-0.307365,-0.309365,-0.309752,-0.288539,-0.238853,-0.204711,-0.174565,-0.12594,-0.095695,-0.074794,-0.070639,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.221603,-0.275319,-0.278881,-0.28004,-0.297975,-0.326634,-0.324305,-0.307729,-0.282493,-0.234592,-0.18837,-0.172728,-0.170274,-0.140624,-0.096695,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.193781,-0.236446,-0.265845,-0.297203,-0.324539,-0.32742,-0.30274,-0.306385,-0.29815,-0.258615,-0.221602,-0.181294,-0.129999,-0.089418,-0.055471,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.081135,-0.122114,-0.158227,-0.196546,-0.230913,-0.267128,-0.277098,-0.239931,-0.218429,-0.198198,-0.154173,-0.099656,-0.049235,0.003573,0.036823,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.180435,-0.241872,-0.288688,-0.298456,-0.318243,-0.312349,-0.290041,-0.269413,-0.242293,-0.21155,-0.185904,-0.163366,-0.119462,-0.084178,-0.063713,-0.050009,-0.03041,0.00405,?,?,?,?,?,?,?,?,?,?,?,2
-0.281702,-0.293475,-0.31837,-0.322355,-0.260726,-0.256352,-0.265783,-0.248532,-0.231428,-0.20555,-0.159236,-0.139134,-0.118144,-0.089359,-0.063126,-0.040908,-0.028215,-0.02581,?,?,?,?,?,?,?,?,?,?,?,2
-0.172601,-0.190694,-0.22028,-0.26885,-0.296946,-0.320355,-0.325323,-0.321903,-0.312363,-0.308347,-0.288386,-0.240615,-0.200654,-0.174796,-0.13078,-0.095614,-0.06508,-0.034957,-0.014934,-0.014706,-0.007119,?,?,?,?,?,?,?,?,2
-0.169793,-0.193658,-0.204296,-0.222865,-0.256253,-0.255735,-0.262874,-0.257455,-0.21347,-0.178353,-0.138587,-0.075511,-0.025409,-0.004716,0.032896,0.047162,0.05448,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.355378,-0.367085,-0.363918,-0.346721,-0.313686,-0.274959,-0.236434,-0.155228,-0.080037,-0.049332,-0.019779,0.020372,0.057482,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.234816,-0.249115,-0.282226,-0.310852,-0.338187,-0.335517,-0.293277,-0.240986,-0.199202,-0.17081,-0.137488,-0.115393,-0.089084,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.102206,-0.132407,-0.176387,-0.217335,-0.215255,-0.239908,-0.275484,-0.294643,-0.306639,-0.280985,-0.234711,-0.208472,-0.171802,-0.087701,-0.053742,-0.04672,-0.022644,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.430506,-0.428303,-0.374201,-0.329053,-0.296404,-0.266795,-0.209714,-0.165801,-0.125609,-0.0922,-0.06433,-0.044489,-0.045556,-0.041401,-0.031756,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.154469,-0.205094,-0.273067,-0.298148,-0.313886,-0.322171,-0.29934,-0.267047,-0.241186,-0.197827,-0.14001,-0.092426,-0.063623,-0.042494,-0.022102,0.001051,?,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.225309,-0.24603,-0.256527,-0.238928,-0.253095,-0.261896,-0.243193,-0.202286,-0.158435,-0.109425,-0.0792,-0.040118,0.013244,0.031665,0.037277,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.23081,-0.222693,-0.206772,-0.149732,-0.108532,-0.119725,-0.075659,-0.030324,-0.001545,0.017316,0.040601,0.050774,0.044341,0.058931,0.072492,0.085758,0.101288,0.115342,?,?,?,?,?,?,?,?,?,?,?,2
-0.304843,-0.299028,-0.291943,-0.252674,-0.171587,-0.0981,-0.025744,-0.005785,-0.00403,0.008245,0.030936,0.057867,0.073412,0.080789,0.091937,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
-0.279828,-0.299277,-0.31982,-0.333545,-0.342469,-0.254512,-0.158729,-0.064989,-0.053088,-0.007631,0.06497,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
