@relation speaker_channel_5

@attribute channel_5_0 numeric
@attribute channel_5_1 numeric
@attribute channel_5_2 numeric
@attribute channel_5_3 numeric
@attribute channel_5_4 numeric
@attribute channel_5_5 numeric
@attribute channel_5_6 numeric
@attribute channel_5_7 numeric
@attribute channel_5_8 numeric
@attribute channel_5_9 numeric
@attribute channel_5_10 numeric
@attribute channel_5_11 numeric
@attribute channel_5_12 numeric
@attribute channel_5_13 numeric
@attribute channel_5_14 numeric
@attribute channel_5_15 numeric
@attribute channel_5_16 numeric
@attribute channel_5_17 numeric
@attribute channel_5_18 numeric
@attribute channel_5_19 numeric
@attribute channel_5_20 numeric
@attribute channel_5_21 numeric
@attribute channel_5_22 numeric
@attribute channel_5_23 numeric
@attribute channel_5_24 numeric
@attribute channel_5_25 numeric
@attribute channel_5_26 numeric
@attribute channel_5_27 numeric
@attribute channel_5_28 numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
-0.118167,-0.112238,-0.102034,-0.137624,-0.090612,-0.003822,-0.009157,0.023719,0.0578,0.081424,0.092027,0.09589,0.07575,0.055463,0.009977,-0.029372,-0.066702,-0.103597,-0.135327,-0.176897,?,?,?,?,?,?,?,?,?,1
-0.411125,-0.434425,-0.421753,-0.227374,-0.267168,-0.23451,-0.18676,-0.252819,-0.217401,-0.257617,-0.212629,-0.188473,-0.155876,-0.116625,-0.130853,-0.180924,-0.193816,-0.15943,-0.130158,-0.08176,-0.006222,-0.0698,-0.120266,-0.180777,-0.251575,-0.263825,?,?,?,1
-0.400335,-0.445498,-0.367101,-0.325267,-0.303667,-0.258345,-0.244786,-0.197558,-0.07967,-0.008763,0.035063,0.078796,0.099089,0.115176,0.06619,0.124684,0.194313,0.192922,0.161462,0.173855,0.147173,0.119741,?,?,?,?,?,?,?,1
-0.744686,-0.756213,-0.666554,-0.612514,-0.532525,-0.353201,-0.233271,-0.168635,-0.095108,-0.047162,-0.003722,0.029938,-0.017231,0.031168,0.08961,0.033865,-0.01579,-0.001436,-0.031186,-0.074302,?,?,?,?,?,?,?,?,?,1
-0.520932,-0.5026,-0.495071,-0.463027,-0.473727,-0.523488,-0.557847,-0.475723,-0.416775,-0.417191,-0.295843,-0.280315,-0.27685,-0.345888,-0.246276,-0.123745,-0.08381,0.02826,0.063513,-0.0192,-0.10635,?,?,?,?,?,?,?,?,1
-0.538407,-0.575495,-0.438199,-0.348928,-0.290714,-0.236857,-0.215631,-0.193294,-0.106416,-0.035412,-0.029569,-0.204872,-0.298809,-0.226078,-0.201391,-0.207068,-0.195785,-0.142387,-0.14214,-0.183735,-0.149606,-0.142327,-0.121277,?,?,?,?,?,?,1
-0.371642,-0.352564,-0.33902,-0.333126,-0.253199,-0.337169,-0.351955,-0.342244,-0.349318,-0.254892,-0.222749,-0.174039,-0.13489,-0.161873,-0.202914,-0.201003,-0.136114,-0.020208,-0.048284,-0.083756,-0.051478,-0.012828,?,?,?,?,?,?,?,1
-0.338705,-0.355668,-0.356215,-0.328834,-0.277809,-0.281143,-0.252435,-0.198122,-0.112427,-0.033607,-0.008129,-0.007428,0.012793,-0.025547,-0.067635,-0.11885,-0.259461,-0.218369,?,?,?,?,?,?,?,?,?,?,?,1
-0.217247,-0.091977,0.023831,0.015743,0.051132,0.12754,0.156905,0.151155,0.056352,-0.000912,0.051999,0.085238,0.102108,0.111229,0.066996,0.042646,0.004058,-0.000898,0.004288,-0.009881,-0.011553,-0.024568,-0.060428,-0.045315,?,?,?,?,?,1
-0.492904,-0.4497,-0.267194,-0.144189,-0.061682,-0.00548,-0.028131,-0.107166,-0.181684,-0.14146,-0.224081,-0.212705,-0.207946,-0.142681,-0.181377,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.315248,-0.358373,-0.388238,-0.331562,-0.291986,-0.235558,-0.208158,-0.220509,-0.227375,-0.25244,-0.268885,-0.190457,-0.151479,-0.168164,-0.250835,-0.306352,-0.210103,-0.248827,-0.333618,-0.282073,-0.24613,-0.165356,-0.09109,?,?,?,?,?,?,1
-0.331558,-0.353113,-0.341542,-0.265806,-0.21675,-0.167931,-0.176385,-0.148816,-0.061053,-0.029119,-0.076451,-0.133246,-0.118102,-0.160599,-0.150809,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.408652,-0.384331,-0.345429,-0.27002,-0.196651,-0.138801,-0.065519,0.010888,0.05949,0.028644,-0.034514,-0.088104,-0.152953,-0.158411,-0.130459,-0.129198,-0.082105,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.330685,-0.286941,-0.295667,-0.283062,-0.239511,-0.23247,-0.268478,-0.20492,-0.123073,-0.124667,-0.120977,-0.150515,-0.163705,-0.016615,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.385894,-0.332207,-0.293166,-0.248582,-0.207796,-0.196216,-0.124958,-0.081013,-0.087827,-0.028105,0.018902,-0.035079,-0.138838,-0.091024,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.524192,-0.446904,-0.442189,-0.43952,-0.263247,-0.206306,-0.122591,-0.093446,-0.12185,-0.029769,0.035309,-0.027037,-0.066118,-0.067494,-0.040234,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.253698,-0.115771,-0.08909,-0.08312,-0.049962,-0.082639,-0.066841,-0.056029,-0.052305,-0.095636,-0.100101,-0.09718,-0.157872,-0.027278,0.025122,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.423325,-0.461127,-0.467327,-0.235987,-0.234877,-0.278956,-0.257479,-0.170785,-0.062876,-0.009519,0.043746,0.043313,0.02185,-0.014452,-0.033109,-0.004658,-0.054245,-0.013178,-0.018305,-0.025465,-0.081129,?,?,?,?,?,?,?,?,1
-0.421568,-0.299133,-0.211835,-0.156514,-0.148069,-0.089183,-0.037222,0.005079,-0.011663,-0.010448,0.037219,0.033333,0.039451,0.032479,0.020123,0.023207,?,?,?,?,?,?,?,?,?,?,?,?,?,1
