@relation speaker_channel_0

@attribute channel_0_0 numeric
@attribute channel_0_1 numeric
@attribute channel_0_2 numeric
@attribute channel_0_3 numeric
@attribute channel_0_4 numeric
@attribute channel_0_5 numeric
@attribute channel_0_6 numeric
@attribute channel_0_7 numeric
@attribute channel_0_8 numeric
@attribute channel_0_9 numeric
@attribute channel_0_10 numeric
@attribute channel_0_11 numeric
@attribute channel_0_12 numeric
@attribute channel_0_13 numeric
@attribute channel_0_14 numeric
@attribute channel_0_15 numeric
@attribute channel_0_16 numeric
@attribute channel_0_17 numeric
@attribute channel_0_18 numeric
@attribute channel_0_19 numeric
@attribute channel_0_20 numeric
@attribute channel_0_21 numeric
@attribute channel_0_22 numeric
@attribute channel_0_23 numeric
@attribute channel_0_24 numeric
@attribute channel_0_25 numeric
@attribute channel_0_26 numeric
@attribute channel_0_27 numeric
@attribute channel_0_28 numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
1.860936,1.891651,1.939205,1.717517,1.741191,1.684695,1.637373,1.643283,1.60703,1.617907,1.51035,1.371225,1.299045,1.221498,1.181849,1.16163,1.19499,1.264847,1.250698,1.261441,?,?,?,?,?,?,?,?,?,1
1.303905,1.28828,1.332021,1.43655,1.510069,1.492324,1.731416,1.655716,1.560145,1.981364,1.64063,1.591455,1.582411,1.541301,1.592347,1.674087,1.681482,1.647909,1.570202,1.61242,1.589158,1.519606,1.452399,1.370862,1.307289,1.334578,?,?,?,1
1.462484,1.309815,1.418207,1.585858,1.651997,1.486123,1.612464,1.723449,1.908451,2.12526,1.990155,2.08031,1.66936,1.882291,1.626219,1.26019,1.274111,1.4529,1.572425,1.565221,1.671099,1.633764,?,?,?,?,?,?,?,1
1.160837,1.217979,1.234654,1.457268,1.534783,1.505516,1.552154,1.497978,1.543273,1.623602,1.626277,1.63463,1.65847,1.653296,1.704241,1.556289,1.421861,1.31135,1.175227,1.335523,?,?,?,?,?,?,?,?,?,1
1.66567,1.685376,1.541171,1.479049,1.602405,1.616784,1.560852,1.586381,1.55236,1.756285,1.678263,1.65066,1.627512,1.612174,1.560036,1.513187,1.463309,1.449662,1.361718,1.254506,1.251355,?,?,?,?,?,?,?,?,1
1.316781,1.546594,1.608876,1.500528,1.310997,1.321061,1.450239,1.531836,1.634158,1.780029,1.862115,1.788249,1.558448,1.527604,1.800617,1.547859,1.611904,1.606463,1.523198,1.426542,1.313754,1.445636,1.622524,?,?,?,?,?,?,1
1.298242,1.284513,1.366785,1.372831,1.417637,1.417835,1.350428,1.306239,1.418816,1.561812,1.285543,1.160802,1.34109,1.382492,1.339451,1.121185,1.082868,0.967712,0.939699,0.895805,0.971273,0.893762,?,?,?,?,?,?,?,1
1.685639,1.698825,1.750511,1.67545,1.677717,1.686637,1.588764,1.538907,1.535322,1.593539,1.665299,1.586304,1.545194,1.507911,1.490069,1.413099,1.346525,1.493634,?,?,?,?,?,?,?,?,?,?,?,1
1.516243,1.522134,1.538597,1.4958,1.664994,1.69838,1.729965,1.474845,1.472562,1.47459,1.575489,1.634094,1.611993,1.529423,1.358692,1.37559,1.481814,1.515759,1.558354,1.54094,1.466947,1.578368,1.591924,1.454448,?,?,?,?,?,1
1.720754,1.754186,1.434685,1.236936,1.505293,1.537248,1.565709,1.62503,1.687084,1.405275,1.379467,1.388737,1.423059,1.376422,1.351184,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.143824,1.330639,1.24666,1.392635,1.531482,1.321063,1.34676,1.573314,1.553535,1.47677,1.51234,1.612976,1.51588,1.487594,1.238548,1.259592,1.266675,1.277499,1.281115,1.154672,1.130783,1.08009,1.057251,?,?,?,?,?,?,1
0.800522,0.796307,0.805716,0.800297,0.732117,0.781415,0.9481,0.994979,0.958847,0.910412,0.7937,0.795708,0.730497,0.793042,0.658688,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
