@relation speaker_channel_10

@attribute channel_10_0 numeric
@attribute channel_10_1 numeric
@attribute channel_10_2 numeric
@attribute channel_10_3 numeric
@attribute channel_10_4 numeric
@attribute channel_10_5 numeric
@attribute channel_10_6 numeric
@attribute channel_10_7 numeric
@attribute channel_10_8 numeric
@attribute channel_10_9 numeric
@attribute channel_10_10 numeric
@attribute channel_10_11 numeric
@attribute channel_10_12 numeric
@attribute channel_10_13 numeric
@attribute channel_10_14 numeric
@attribute channel_10_15 numeric
@attribute channel_10_16 numeric
@attribute channel_10_17 numeric
@attribute channel_10_18 numeric
@attribute channel_10_19 numeric
@attribute channel_10_20 numeric
@attribute channel_10_21 numeric
@attribute channel_10_22 numeric
@attribute channel_10_23 numeric
@attribute channel_10_24 numeric
@attribute channel_10_25 numeric
@attribute channel_10_26 numeric
@attribute channel_10_27 numeric
@attribute channel_10_28 numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
-0.213076,-0.247722,-0.227908,-0.210105,-0.216545,-0.204794,-0.181643,-0.156417,-0.115129,-0.103184,-0.099587,-0.073882,-0.066122,-0.075885,-0.096844,-0.068804,-0.02792,-0.019119,-0.02357,-0.033314,?,?,?,?,?,?,?,?,?,1
0.093058,0.093031,0.019092,-0.021516,-0.061329,-0.038403,-0.100484,-0.24575,-0.177976,-0.192819,-0.175446,-0.1194,-0.101151,-0.096591,-0.094819,-0.162255,-0.173016,-0.143742,-0.135773,-0.176121,-0.245672,-0.198052,-0.18457,-0.193044,-0.175811,-0.13861,?,?,?,1
0.120636,0.121053,0.175298,0.129806,0.022768,-0.002587,-0.040954,-0.048362,-0.077406,-0.132886,-0.146977,-0.093402,-0.059613,-0.031532,0.004972,-0.004726,0.02087,0.053308,0.042348,0.043696,0.065611,0.095911,?,?,?,?,?,?,?,1
0.07482,0.049702,-0.007566,-0.064975,-0.070709,-0.153013,-0.190216,-0.204131,-0.185253,-0.161626,-0.155957,-0.146793,-0.025202,0.034436,0.034556,0.090128,0.119465,0.133377,0.130948,0.09866,?,?,?,?,?,?,?,?,?,1
0.063014,-0.036998,-0.100226,-0.060428,-0.121264,-0.157841,-0.088907,-0.045568,-0.088878,-0.209564,-0.293401,-0.245426,-0.181778,-0.111772,-0.062059,-0.08706,-0.071656,-0.000435,0.037011,0.039887,0.002197,?,?,?,?,?,?,?,?,1
0.112608,0.037846,0.028236,0.021624,-0.033292,0.003456,0.066614,0.067804,0.036043,-0.023714,-0.016512,0.048968,0.031181,0.028516,-0.012089,-0.011356,0.005866,0.013731,0.017047,0.019405,-0.005472,-0.009701,0.010511,?,?,?,?,?,?,1
-0.040123,-0.049674,-0.105818,-0.067913,-0.00389,0.012745,0.022386,-0.05055,-0.002221,0.023878,0.025722,0.062873,0.09909,0.079851,0.048488,0.066971,0.076224,0.07712,0.096138,0.078315,0.08791,0.095645,?,?,?,?,?,?,?,1
0.000879,-0.054213,-0.082473,-0.086374,-0.0978,-0.062805,-0.051415,-0.056661,-0.043276,-0.014849,0.026372,0.059879,0.097692,0.087452,0.035742,0.045972,0.043178,0.043216,?,?,?,?,?,?,?,?,?,?,?,1
-0.086583,-0.030845,-0.022689,-0.047789,-0.088953,-0.130278,-0.09804,-0.080469,-0.049339,0.023334,0.087925,0.099617,0.1645,0.179198,0.152888,0.180336,0.185892,0.183333,0.173711,0.159657,0.132368,0.104358,0.077049,0.071448,?,?,?,?,?,1
-0.11194,-0.126921,-0.110405,-0.135416,-0.185479,-0.135382,-0.020578,-0.001553,0.022823,0.057141,0.038937,0.041859,0.029628,-0.025688,-0.036473,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
