@relation speaker_channel_2

@attribute channel_2_0 numeric
@attribute channel_2_1 numeric
@attribute channel_2_2 numeric
@attribute channel_2_3 numeric
@attribute channel_2_4 numeric
@attribute channel_2_5 numeric
@attribute channel_2_6 numeric
@attribute channel_2_7 numeric
@attribute channel_2_8 numeric
@attribute channel_2_9 numeric
@attribute channel_2_10 numeric
@attribute channel_2_11 numeric
@attribute channel_2_12 numeric
@attribute channel_2_13 numeric
@attribute channel_2_14 numeric
@attribute channel_2_15 numeric
@attribute channel_2_16 numeric
@attribute channel_2_17 numeric
@attribute channel_2_18 numeric
@attribute channel_2_19 numeric
@attribute channel_2_20 numeric
@attribute channel_2_21 numeric
@attribute channel_2_22 numeric
@attribute channel_2_23 numeric
@attribute channel_2_24 numeric
@attribute channel_2_25 numeric
@attribute channel_2_26 numeric
@attribute channel_2_27 numeric
@attribute channel_2_28 numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
0.261557,0.235363,0.258561,0.217119,0.196583,0.195453,0.152766,0.131553,0.179038,0.179878,0.13193,0.043163,0.029375,-0.002802,-0.075193,-0.052291,0.065827,0.162907,0.205701,0.217443,?,?,?,?,?,?,?,?,?,1
0.59772,0.631579,0.601928,0.641775,0.614297,0.583179,0.624905,0.366389,0.107469,0.261975,0.091516,0.125782,0.278858,0.363522,0.39001,0.38017,0.381238,0.511363,0.478356,0.416774,0.437124,0.443297,0.527393,0.600771,0.620979,0.558104,?,?,?,1
0.505133,0.503046,0.589994,0.696888,0.55765,0.336031,0.390098,0.417834,0.431328,0.488411,0.470629,0.525433,0.256937,0.428198,0.336811,0.234296,0.296681,0.378652,0.452938,0.483607,0.587177,0.574273,?,?,?,?,?,?,?,1
0.237706,0.378571,0.504189,0.427336,0.273407,0.317178,0.410055,0.473896,0.582981,0.573858,0.55501,0.575776,0.595335,0.733377,0.869738,0.909457,0.874371,0.838275,0.701567,0.832941,?,?,?,?,?,?,?,?,?,1
0.30971,0.339418,0.295073,0.351733,0.370285,0.264209,0.08428,0.094031,0.199152,0.208466,0.309991,0.377687,0.230844,0.121253,0.164484,0.289054,0.35513,0.480473,0.559628,0.554876,0.593917,?,?,?,?,?,?,?,?,1
0.247252,0.208579,0.340853,0.437274,0.507571,0.324998,0.204418,0.190886,0.216047,0.21,0.18435,0.283067,0.182383,0.133084,0.326549,0.230714,0.364913,0.510641,0.368123,0.474689,0.562344,0.558721,0.644036,?,?,?,?,?,?,1
0.602439,0.509488,0.502441,0.459848,0.520153,0.471114,0.443349,0.409404,0.33791,0.532809,0.485271,0.479699,0.530374,0.471562,0.570811,0.615707,0.685535,0.726917,0.762015,0.818346,0.909781,0.889266,?,?,?,?,?,?,?,1
0.57703,0.501133,0.53531,0.588458,0.557505,0.531985,0.438431,0.408907,0.381586,0.347412,0.311501,0.267663,0.408341,0.408211,0.398661,0.45115,0.510571,0.704848,?,?,?,?,?,?,?,?,?,?,?,1
0.310573,0.281658,0.238779,0.158021,0.293956,0.266387,0.34575,0.231882,0.295663,0.433514,0.433878,0.449017,0.446422,0.384836,0.436376,0.520157,0.652986,0.647722,0.586695,0.627862,0.648174,0.674816,0.728374,0.678094,?,?,?,?,?,1
0.354998,0.360816,0.268809,0.200361,0.280057,0.368875,0.227486,0.106447,0.344205,0.226137,0.222273,0.300933,0.296279,0.406414,0.404298,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
